"","school_no","school_name","year","unpaid","pct_free_reduced","adm","cep","grade","urban_centric_locale","pct_amin","pct_asian","pct_hispanic","pct_black","pct_haw_pac","pct_white","pct_multi","debt_per_student","grade_clean","cep_long","pct_minority","ts"
"1","304","Bethesda","2010-11",3076.28,0.863319386331939,717,"0","K-5","City",0.0013869625520111,0.0208044382801664,0.325936199722608,0.550624133148405,0,0.0693481276005548,0.0319001386962552,4.29048814504881,"Elementary","1",0.876560332871013,2010
"2","306","Brogden","2010-11",3068.58,0.62797619047619,672,"0","6-8","City",0.00295420974889217,0.0103397341211226,0.206794682422452,0.494830132939439,0,0.252584933530281,0.0324963072378139,4.56633928571429,"Middle","0",0.701624815361891,2010
"3","308","Burton","2010-11",2155.15,0.847457627118644,354,"0","K-5","City",0.00279329608938547,0.00558659217877095,0.463687150837989,0.483240223463687,0,0.0279329608938547,0.0167597765363128,6.08799435028249,"Elementary","1",0.946927374301676,2010
"4","309","Early College","2010-11",353.59,0.486803519061584,341,"0","9-12","City",0,0.0261627906976744,0.127906976744186,0.779069767441861,0.00290697674418605,0.0377906976744186,0.0261627906976744,1.03692082111437,"High","0",0.906976744186047,2010
"5","310","Eastway","2010-11",3310.58,1,508,"0","K-5","City",0.00198019801980198,0,0.437623762376238,0.514851485148515,0,0.0198019801980198,0.0257425742574257,6.51688976377953,"Elementary","1",0.952475247524752,2010
"6","312","Jordan","2010-11",4443.74,0.305385896724042,1801,"0","9-12","City",0.00492341356673961,0.0437636761487965,0.164113785557987,0.355032822757112,0.00164113785557987,0.393873085339168,0.0366520787746171,2.46737368128817,"High","0",0.519146608315099,2010
"7","313","Easley","2010-11",996.44,0.219155844155844,616,"0","K-5","City",0,0.0411861614497529,0.0790774299835255,0.191103789126853,0,0.678747940691928,0.00988467874794069,1.6175974025974,"Elementary","0",0.270181219110379,2010
"8","314","School for Creative Studies","2010-11",11900.86,0.887218045112782,532,"0","6-8","Rural",0.00403225806451613,0.00806451612903226,0.280241935483871,0.616935483870968,0,0.0806451612903226,0.0100806451612903,22.370037593985,"Middle","0",0.897177419354839,2010
"9","315","Eno Valley","2010-11",1294.83,0.80370942812983,647,"0","K-5","City",0.00748502994011976,0.0359281437125748,0.109281437125749,0.714071856287425,0.0029940119760479,0.101796407185629,0.0284431137724551,2.0012828438949,"Elementary","1",0.823353293413174,2010
"10","316","Carrington","2010-11",6542.21,0.526936026936027,1188,"0","6-8","City",0.0050761421319797,0.0245346869712352,0.171742808798646,0.484771573604061,0.00169204737732657,0.285109983079526,0.027072758037225,5.50691077441077,"Middle","0",0.656514382402707,2010
"11","317","City of Medicine","2010-11",394.44,0.534883720930233,215,"0","9-12","City",0.0136986301369863,0.045662100456621,0.100456621004566,0.757990867579909,0,0.0593607305936073,0.0228310502283105,1.83460465116279,"High","0",0.858447488584475,2010
"12","318","Club","2010-11",823.53,0.62671905697446,509,"0","K-5","City",0.00392156862745098,0,0.32156862745098,0.335294117647059,0.00196078431372549,0.286274509803922,0.0509803921568627,1.61793713163065,"Elementary","0",0.656862745098039,2010
"13","319","Creekside","2010-11",1769.99,0.430875576036866,868,"0","K-5","Suburb",0.00932400932400932,0.0710955710955711,0.243589743589744,0.242424242424242,0,0.400932400932401,0.0326340326340326,2.03915898617512,"Elementary","0",0.486013986013986,2010
"14","320","Glenn","2010-11",4991.93,0.93140243902439,656,"0","K-5","Suburb",0,0.00763358778625954,0.404580152671756,0.538931297709924,0,0.0198473282442748,0.0290076335877863,7.6096493902439,"Elementary","1",0.943511450381679,2010
"15","322","Performance Learning Center","2010-11",1252.15,0.771084337349398,166,"0","9-12","City",0,0.0117647058823529,0.0823529411764706,0.817647058823529,0,0.0647058823529412,0.0235294117647059,7.54307228915663,"High","0",0.9,2010
"16","323","Durham School of the Arts","2010-11",4656.79,0.401580459770115,1392,"0","6-12","City",0.0028328611898017,0.0290368271954674,0.155099150141643,0.422804532577904,0,0.346317280453258,0.0439093484419263,3.34539511494253,"High","0",0.577903682719547,2010
"17","324","Hillandale","2010-11",5865.22,0.591482649842271,634,"0","K-5","City",0.00473186119873817,0.0362776025236593,0.198738170347003,0.364353312302839,0.00630914826498423,0.348580441640379,0.0410094637223975,9.2511356466877,"Elementary","0",0.563091482649842,2010
"18","325","Hillside","2010-11",14934.24,0.651778329197684,1209,"0","9-12","City",0.000799360511590727,0.00799360511590727,0.117505995203837,0.826538768984812,0,0.0239808153477218,0.0231814548361311,12.3525558312655,"High","0",0.944044764188649,2010
"19","327","Hope Valley","2010-11",4974.33,0.562942008486563,707,"0","K-5","City",0.00140449438202247,0.0379213483146067,0.335674157303371,0.297752808988764,0.00702247191011236,0.289325842696629,0.0308988764044944,7.03582743988685,"Elementary","0",0.633426966292135,2010
"20","328","Holt","2010-11",3781.41,0.888888888888889,576,"0","K-5","City",0.00166666666666667,0.0216666666666667,0.446666666666667,0.415,0.00833333333333333,0.07,0.0366666666666667,6.56494791666667,"Elementary","0",0.861666666666667,2010
"21","332","Forestview","2010-11",1598.98,0.537067545304778,607,"0","K-5","City",0.00323624595469256,0.0711974110032362,0.288025889967638,0.244336569579288,0.00647249190938511,0.346278317152104,0.040453074433657,2.63423393739703,"Elementary","0",0.532362459546926,2010
"23","338","Shepard","2010-11",4006.53,0.684331797235023,434,"0","6-8","City",0,0.00919540229885057,0.108045977011494,0.864367816091954,0,0.0114942528735632,0.00689655172413793,9.23163594470046,"Middle","0",0.972413793103448,2010
