"school_name","year","cep","eligible","pct_free_reduced","unpaid","debt_per_student"
"Lakewood Middle","2011-12",0,NA,0.519553072625698,330.25,1.84497206703911
"Fayetteville Street","2011-12",0,NA,0.944805194805195,841.88,2.73337662337662
"Lowe's Grove","2011-12",0,NA,0.845070422535211,1201.38,1.88009389671362
"George Watts","2011-12",0,NA,0.621538461538461,471.65,1.45123076923077
"Mangum","2011-12",0,NA,0.276497695852535,933.62,2.15119815668203
"Merrick Moore","2011-12",0,NA,0.968421052631579,20546.43,30.8968872180451
"Morehead","2011-12",0,NA,0.378504672897196,285.5,1.33411214953271
"Neal","2011-12",0,NA,0.858536585365854,13574.29,22.0720162601626
"Northern","2011-12",0,NA,0.533185840707965,1913.96,1.41147492625369
"Oak Grove","2011-12",0,NA,0.857685009487666,1432.23,2.71770398481973
"Parkwood","2011-12",0,NA,0.662847790507365,1074.95,1.75932896890344
"E K Powe","2011-12",0,NA,0.759791122715405,456.08,1.19080939947781
"Pearsontown","2011-12",0,NA,0.367205542725173,1212.74,1.40039260969977
"Riverside","2011-12",0,NA,0.49514008004574,1202.99,0.687815894797027
"Githens","2011-12",0,NA,0.676288659793814,8670.77,8.9389381443299
"R N Harris","2011-12",0,NA,0.868493150684931,3190.91,8.74221917808219
"Southern","2011-12",0,NA,0.723446893787575,2263.8,2.26833667334669
"Sandy Ridge","2011-12",0,NA,0.6,1091.01,1.89740869565217
"Rogers Herr","2011-12",0,NA,0.45253164556962,1038.78,1.64363924050633
"Southwest","2011-12",0,NA,0.648424543946932,2116.21,3.50946932006633
"C C Spaulding","2011-12",0,NA,1,649.76,2.92684684684685
"Spring Valley","2011-12",0,NA,0.740740740740741,354.75,0.656944444444444
"W G Pearson Elementary","2011-12",0,NA,0.832167832167832,602.06,1.05255244755245
"Y E Smith","2011-12",0,NA,0.981538461538462,10247.63,31.5311692307692
"Hillside New Tech","2011-12",0,NA,0.534883720930233,245.65,0.714098837209302
"Bethesda","2012-13",0,NA,0.880551301684533,1587.6,2.4312404287902
"Brogden","2012-13",0,NA,0.728592162554427,818.15,1.18744557329463
"Burton","2012-13",0,NA,0.964285714285714,2518.05,6.91771978021978
"Early College","2012-13",0,NA,0.591715976331361,187.75,0.555473372781065
"Eastway","2012-13",0,NA,1,1522.85,2.71452762923351
"Jordan","2012-13",0,NA,0.392457277548615,2632.55,1.55129640542133
"Easley","2012-13",0,NA,0.227027027027027,3935.1,7.09027027027027
"School for Creative Studies","2012-13",0,NA,0.86144578313253,1743.98,10.5059036144578
"Eno Valley","2012-13",0,NA,0.943820224719101,914.84,1.4684430176565
"Carrington","2012-13",0,NA,0.587903225806452,1635.59,1.31902419354839
"City of Medicine","2012-13",0,NA,0.554878048780488,272.71,0.831432926829268
"Club","2012-13",0,NA,0.58974358974359,490.41,0.967278106508876
"Creekside","2012-13",0,NA,0.477220956719818,717.8,0.81753986332574
"Glenn","2012-13",0,NA,0.942942942942943,1720.72,2.58366366366366
"Performance Learning Center","2012-13",0,NA,0.773869346733668,1186.85,5.96407035175879
"Durham School of the Arts","2012-13",0,NA,0.392602206359507,1118.05,0.725535366645036
"Hillandale","2012-13",0,NA,0.649532710280374,984.39,1.53331775700935
"Hillside","2012-13",0,NA,0.659385113268608,1515.64,1.22624595469256
"Hope Valley","2012-13",0,NA,0.610091743119266,4144.64,6.33737003058104
"Holt","2012-13",0,NA,0.948473282442748,85.8,0.163740458015267
"Forestview","2012-13",0,NA,0.62178517397882,1296.52,1.96145234493192
"Shepard","2012-13",0,NA,0.706796116504854,1228.71,2.38584466019417
"Lakewood Elementary","2012-13",0,NA,1,260.98,0.564891774891775
"Little River","2012-13",0,NA,0.385321100917431,333.3,0.764449541284404
"Lakeview","2012-13",0,NA,1,4086.16,33.7699173553719
"Lakewood Middle","2012-13",0,NA,0.503521126760563,299.7,1.05528169014085
"Lucas","2012-13",0,NA,0.685636856368564,1159.9,3.14336043360434
"Fayetteville Street","2012-13",0,NA,0.968421052631579,876.11,3.0740701754386
"Lowe's Grove","2012-13",0,NA,0.823802163833076,809.47,1.25111282843895
"George Watts","2012-13",0,NA,0.572271386430678,544.25,1.60545722713864
"Mangum","2012-13",0,NA,0.284974093264249,931.41,2.4129792746114
"Merrick Moore","2012-13",0,NA,0.937771345875543,21842.55,31.6100578871201
"Morehead","2012-13",0,NA,0.405660377358491,277.05,1.30683962264151
"Neal","2012-13",0,NA,0.865311308767471,13236.97,16.8195298602287
"Northern","2012-13",0,NA,0.589837997054492,1750.46,1.28899852724595
"Oak Grove","2012-13",0,NA,0.88256880733945,1235.78,2.26748623853211
"Parkwood","2012-13",0,NA,0.728782287822878,1174.4,2.16678966789668
"E K Powe","2012-13",0,NA,0.723880597014925,235.17,0.585
"Pearsontown","2012-13",0,NA,0.344282238442822,1056.04,1.2847201946472
"Riverside","2012-13",0,NA,0.535610885929357,1352.19,0.782970469021424
"Githens","2012-13",0,NA,0.718436873747495,10548.86,10.57
"R N Harris","2012-13",0,NA,0.909333333333333,3088.33,8.23554666666667
"Southern","2012-13",0,NA,0.769230769230769,2274.23,2.5353734671126
"Sandy Ridge","2012-13",0,NA,0.612565445026178,808.8,1.41151832460733
"Rogers Herr","2012-13",0,NA,0.452495974235105,1076.65,1.73373590982287
"Southwest","2012-13",0,NA,0.71301247771836,2987.08,5.3245632798574
"C C Spaulding","2012-13",0,NA,1,679.46,2.66454901960784
"Spring Valley","2012-13",0,NA,0.75,315.34,0.57543795620438
"W G Pearson Elementary","2012-13",0,NA,0.913443830570902,716.84,1.32014732965009
"Y E Smith","2012-13",0,NA,1,11019.16,29.3844266666667
"Hillside New Tech","2012-13",0,NA,0.516417910447761,290.68,0.867701492537313
"Bethesda","2013-14",0,NA,0.857771260997067,8111.4,11.8935483870968
"Brogden","2013-14",0,NA,0.756637168141593,1188.8,1.75339233038348
"Burton","2013-14",0,NA,0.989010989010989,1369.16,3.76142857142857
"Early College","2013-14",0,NA,0.583333333333333,158.4,0.471428571428571
"Eastway","2013-14",0,NA,1,2717.95,4.42662866449511
"Jordan","2013-14",0,NA,0.399885255306942,2026.38,1.1625817555938
"Easley","2013-14",0,NA,0.28719723183391,928.09,1.60569204152249
"School for Creative Studies","2013-14",0,NA,0.534883720930233,537.49,2.08329457364341
"Eno Valley","2013-14",0,NA,0.925867507886435,1631.87,2.57392744479495
